cell_id,glat,glng,lat,lng,count,weight
0,32.5,-117.0,32.545532415730335,-117.03464658426967,89,241
1,32.6,-117.10000000000001,32.60610768040907,-117.08413052589577,2535,5779
2,32.6,-117.0,32.59336674331551,-117.03175452673798,374,946
3,32.6,-116.9,32.585587133333334,-116.9360223,30,64
4,32.6,-116.80000000000001,32.63196704347826,-116.76999952173912,23,55
5,32.7,-117.30000000000001,32.735398152,-117.253653938,45,90
6,32.7,-117.2,32.72883362305503,-117.1695665835538,4814,10448
7,32.7,-117.10000000000001,32.70337668874074,-117.10876443277652,16062,35217
8,32.7,-117.0,32.72092732737276,-117.00685625722146,727,1491
9,32.7,-116.9,32.73126521985815,-116.91420112056737,141,288
10,32.7,-116.80000000000001,32.68261041935484,-116.81219841935484,31,66
11,32.7,-114.60000000000001,32.73537042324842,-114.62367724428488,133,277
12,32.800000000000004,-117.30000000000001,32.81880032140347,-117.26268783469509,242,482
13,32.800000000000004,-117.2,32.7898033486076,-117.18765990989533,12078,26895
14,32.800000000000004,-117.10000000000001,32.78937008247496,-117.11562133895805,11598,26208
15,32.800000000000004,-117.0,32.791652053357865,-116.99556422079117,1087,2544
16,32.800000000000004,-116.9,32.80697260095012,-116.92151730878861,421,1008
17,32.800000000000004,-116.80000000000001,32.82992052380953,-116.78848571428571,84,190
18,32.800000000000004,-116.7,32.82635916,-116.7013902,25,62
19,32.800000000000004,-116.60000000000001,32.8278262,-116.62589885,20,53
20,32.800000000000004,-114.60000000000001,32.76791640425532,-114.60595663829788,47,94
21,32.9,-117.30000000000001,32.89796702865826,-117.25551894658915,59,118
22,32.9,-117.2,32.89344210691625,-117.21608055741169,5375,12227
23,32.9,-117.10000000000001,32.902885733595014,-117.113422238248,3608,8211
24,32.9,-117.0,32.869860280000005,-116.99339368,25,50
25,32.9,-116.9,32.875274306201554,-116.92136079069768,258,523
26,32.9,-116.80000000000001,32.8645616,-116.82380524,25,63
27,33.0,-117.30000000000001,33.01036486703494,-117.26673511579831,3281,7734
28,33.0,-117.2,32.984235094535684,-117.21904806955573,1892,4056
29,33.0,-117.10000000000001,32.995808472473314,-117.09207466059969,3718,8241
30,33.0,-117.0,32.978493780821914,-116.9661377260274,73,158
31,33.0,-116.9,33.0285848125,-116.88658594374999,160,338
32,33.0,-116.80000000000001,33.00130784126984,-116.82522768253968,63,126
33,33.0,-116.60000000000001,33.01328991304348,-116.57732617391305,23,48
34,33.1,-117.30000000000001,33.099606415957865,-117.30889173182548,3744,8676
35,33.1,-117.2,33.13459243661609,-117.17915719625006,1592,3223
36,33.1,-117.10000000000001,33.11057240741557,-117.09936830098289,6229,13725
37,33.1,-117.0,33.091756076923076,-117.02164928205129,39,85
38,33.1,-116.9,33.06837097297297,-116.8842765945946,37,97
39,33.1,-116.80000000000001,33.07165996296297,-116.81280318518519,27,54
40,33.1,-116.7,33.0848933,-116.70753625,20,41
41,33.1,-116.60000000000001,33.08160191891891,-116.6045572972973,37,75
42,33.2,-117.4,33.19778998498795,-117.37190968276984,2677,6202
43,33.2,-117.30000000000001,33.18101591680745,-117.31282756913511,2944,6159
44,33.2,-117.2,33.185317059730096,-117.21341791645231,2950,5999
45,33.2,-117.10000000000001,33.189727552915016,-117.11690262627305,1147,2476
46,33.2,-117.0,33.216354447916665,-117.00521809375,96,199
47,33.300000000000004,-117.5,33.305835980051164,-117.47195934565545,605,1407
48,33.300000000000004,-117.4,33.267372269552595,-117.43578031373589,416,925
49,33.300000000000004,-117.30000000000001,33.288354110575135,-117.28334069535678,54,106
50,33.300000000000004,-117.2,33.29984915653674,-117.19105713600248,2942,6291
51,33.300000000000004,-117.10000000000001,33.29328196700499,-117.12383090818354,610,1295
52,33.300000000000004,-117.0,33.3031727012987,-116.9942521038961,77,160
53,33.300000000000004,-116.9,33.29884779310345,-116.90863458620689,29,64
54,33.4,-117.60000000000001,33.4112576908068,-117.60107127093997,1715,4055
55,33.4,-117.5,33.361096506544065,-117.53797592651007,285,614
56,33.4,-117.30000000000001,33.38041879549554,-117.256949424035,703,1404
57,33.4,-117.2,33.38568285467537,-117.1960637261134,2081,4381
58,33.4,-117.10000000000001,33.41209706060496,-117.11880548245797,1283,2846
59,33.4,-116.9,33.44276169230769,-116.86670369230768,26,52
60,33.5,-117.80000000000001,33.541228875,-117.78157520833334,24,51
61,33.5,-117.7,33.50202701385752,-117.67024972336417,3053,6948
62,33.5,-117.60000000000001,33.52024310617489,-117.61429221033487,916,1883
63,33.5,-117.5,33.53666109371724,-117.54935246644528,64,131
64,33.5,-117.30000000000001,33.50614398627744,-117.28790383280817,155,310
65,33.5,-117.2,33.519425717001475,-117.16555622137344,2425,5662
66,33.5,-117.10000000000001,33.487549226772984,-117.13011059125927,2137,4816
67,33.5,-117.0,33.498682625,-117.00897615625,32,66
68,33.5,-116.9,33.47754808,-116.9052152,25,66
69,33.5,-114.60000000000001,33.5160159,-114.59941940000002,20,40
70,33.6,-117.9,33.63504496895341,-117.89340241054077,787,1589
71,33.6,-117.80000000000001,33.61140426271762,-117.78310438669506,659,1363
72,33.6,-117.7,33.60113414857968,-117.6957434674352,8330,18922
73,33.6,-117.60000000000001,33.589123683093725,-117.62191204585056,1231,2472
74,33.6,-117.5,33.588376635666606,-117.50097030013123,450,951
75,33.6,-117.4,33.627974845111005,-117.40999118285747,551,1129
76,33.6,-117.30000000000001,33.62214357705646,-117.29476749328803,776,1650
77,33.6,-117.2,33.588364577713826,-117.19013848680588,2829,6380
78,33.6,-117.10000000000001,33.59044174887594,-117.11824976810583,1586,3190
79,33.6,-114.60000000000001,33.60667404403405,-114.6005999678331,208,429
80,33.6,-114.5,33.60552751989437,-114.53415495827113,141,311
81,33.7,-118.30000000000001,33.74563719541774,-118.2855326030773,656,1450
82,33.7,-118.0,33.72690729492112,-117.98141018853602,4790,11297
83,33.7,-117.9,33.68759616571216,-117.88694867921605,9821,21583
84,33.7,-117.80000000000001,33.70831603647563,-117.80808590052104,12942,29787
85,33.7,-117.7,33.67770313551293,-117.71811785549455,1121,2433
86,33.7,-117.60000000000001,33.68039125091867,-117.61689018053006,450,905
87,33.7,-117.5,33.747288891566264,-117.45398125301205,166,387
88,33.7,-117.4,33.71230524270389,-117.39815826063537,1685,3667
89,33.7,-117.30000000000001,33.69024863412961,-117.31296880354472,1644,3585
90,33.7,-117.2,33.7015614877813,-117.17986470751741,1199,2728
91,33.7,-117.10000000000001,33.72215535100858,-117.09691472568981,1785,3602
92,33.7,-117.0,33.724392515151514,-116.98441918181818,33,66
93,33.7,-116.9,33.73895829508197,-116.92168092622951,122,246
94,33.7,-116.80000000000001,33.718222555555556,-116.78949866666666,27,54
95,33.7,-116.7,33.72723008333333,-116.72032283333333,24,52
96,33.7,-116.30000000000001,33.742572634615385,-116.28542625,52,120
97,33.7,-116.2,33.719803681818185,-116.19568613636365,22,53
98,33.7,-114.60000000000001,33.67288374832659,-114.57967096122343,33,66
99,33.800000000000004,-118.4,33.79167175325494,-118.36071298303126,126,283
100,33.800000000000004,-118.30000000000001,33.81884541817958,-118.28333591682068,8208,18443
101,33.800000000000004,-118.2,33.81712878490943,-118.20238848179275,11887,28274
102,33.800000000000004,-118.10000000000001,33.79681149656432,-118.09636100471363,9891,23632
103,33.800000000000004,-118.0,33.78065620049525,-117.99874474142814,6213,13479
104,33.800000000000004,-117.9,33.7923224962731,-117.88913771026246,17001,36510
105,33.800000000000004,-117.80000000000001,33.7943980028494,-117.82872085833395,6729,13754
106,33.800000000000004,-117.7,33.791566553747614,-117.73053342266596,381,772
107,33.800000000000004,-117.5,33.80659781812685,-117.50490442102569,3899,8817
108,33.800000000000004,-117.4,33.823863308559226,-117.37368421081891,410,829
109,33.800000000000004,-117.30000000000001,33.81857725062815,-117.28085150382311,2008,4121
110,33.800000000000004,-117.2,33.79898795339767,-117.21504057943069,2460,5419
111,33.800000000000004,-117.10000000000001,33.81468355517826,-117.11722397163084,675,1367
112,33.800000000000004,-117.0,33.82705427118644,-116.99873422033899,59,123
113,33.800000000000004,-116.9,33.76729075,-116.91060828571428,28,57
114,33.800000000000004,-116.5,33.84213919047619,-116.47187147619049,21,57
115,33.800000000000004,-116.4,33.80554899401198,-116.38698683832335,167,415
116,33.800000000000004,-116.30000000000001,33.765399227272724,-116.30661690909092,132,334
117,33.9,-118.4,33.92100499609652,-118.3680870305356,10646,24754
118,33.9,-118.30000000000001,33.90443531857109,-118.29329635027602,31483,71010
119,33.9,-118.2,33.90251494173033,-118.19743151003925,25052,55813
120,33.9,-118.10000000000001,33.90456340043896,-118.09918095066158,24812,56969
121,33.9,-118.0,33.88379398308072,-118.01271209839825,12648,26787
122,33.9,-117.9,33.88618022371379,-117.89148943480234,10119,20543
123,33.9,-117.80000000000001,33.8589189298107,-117.79636481582192,4170,8500
124,33.9,-117.7,33.87703573939279,-117.69604946344738,6244,12703
125,33.9,-117.60000000000001,33.89001976875867,-117.5906988941363,6683,14045
126,33.9,-117.5,33.888004532931625,-117.50419105595483,7840,16412
127,33.9,-117.4,33.919852371581776,-117.41328628694576,4160,8385
128,33.9,-117.30000000000001,33.917446362365105,-117.28262418350454,7509,16359
129,33.9,-117.2,33.93695358064026,-117.21400714816784,2002,4056
130,33.9,-117.10000000000001,33.92987778702813,-117.10962555936159,1593,3240
