hour_of_week,day_name,hour,avg_risk_score,historical_accident_count
0,Mon,0,0.008844173731374918,3453
1,Mon,1,0.008737447391988833,3170
2,Mon,2,0.008752063698651768,3178
3,Mon,3,0.00866513393347324,3024
4,Mon,4,0.009018528926773099,4133
5,Mon,5,0.010200950714610605,6992
6,Mon,6,0.011215722560812649,9451
7,Mon,7,0.011942278418333596,11087
8,Mon,8,0.011867533481595098,10972
9,Mon,9,0.010960274587362843,8821
10,Mon,10,0.010557202340275827,7804
11,Mon,11,0.010655954594543625,8220
12,Mon,12,0.010609165637768444,8065
13,Mon,13,0.011137870204830947,9305
14,Mon,14,0.011758187280645193,10787
15,Mon,15,0.012492979936871167,12518
16,Mon,16,0.012411876271935712,12362
17,Mon,17,0.012646692019311487,12845
18,Mon,18,0.011495603889131114,10092
19,Mon,19,0.010237153052106115,7121
20,Mon,20,0.009823593808710092,6122
21,Mon,21,0.009370243494735133,4898
22,Mon,22,0.009100276199308597,4287
23,Mon,23,0.008983464586704534,3915
24,Tue,0,0.008882654546488884,3673
25,Tue,1,0.008723792877851992,3172
26,Tue,2,0.008627003048734067,2945
27,Tue,3,0.008467738280541074,2466
28,Tue,4,0.008834534597589754,3634
29,Tue,5,0.010004864945062576,6520
30,Tue,6,0.011452198005295742,10026
31,Tue,7,0.012399413239171727,12296
32,Tue,8,0.012520217488548669,12511
33,Tue,9,0.011358682800234235,9750
34,Tue,10,0.010636773413866603,7986
35,Tue,11,0.010718918628410307,8222
36,Tue,12,0.01070090485143953,8213
37,Tue,13,0.011178825339481113,9402
38,Tue,14,0.011884528975799438,11039
39,Tue,15,0.012663367733194587,12865
40,Tue,16,0.0127718985833619,13119
41,Tue,17,0.013255818216886936,14265
42,Tue,18,0.012100051943869265,11569
43,Tue,19,0.010423288316851827,7535
44,Tue,20,0.009829340206270966,6103
45,Tue,21,0.009339321280421583,4826
46,Tue,22,0.009197487226795451,4483
47,Tue,23,0.009000084641250244,3965
48,Wed,0,0.008888271399456181,3654
49,Wed,1,0.008789585844378906,3304
50,Wed,2,0.008606444281209045,2914
51,Wed,3,0.008552764676536288,2584
52,Wed,4,0.00887605168918993,3758
53,Wed,5,0.010153775100153818,6840
54,Wed,6,0.011424618030402959,9927
55,Wed,7,0.012385668560441094,12179
56,Wed,8,0.01245383218970771,12300
57,Wed,9,0.01134983541800763,9731
58,Wed,10,0.010656693975735002,8132
59,Wed,11,0.010733638095017674,8374
60,Wed,12,0.010730373594457929,8310
61,Wed,13,0.011451807782291365,10079
62,Wed,14,0.011900217896492577,11121
63,Wed,15,0.012823914113760335,13259
64,Wed,16,0.0128906592476658,13379
65,Wed,17,0.013421187674476767,14582
66,Wed,18,0.012213357367478013,11752
67,Wed,19,0.010503733606151814,7744
68,Wed,20,0.009933472625166601,6193
69,Wed,21,0.009334695607826704,4798
70,Wed,22,0.009389518301652758,4827
71,Wed,23,0.0091809216911124,4325
72,Thu,0,0.00895447778919175,3765
73,Thu,1,0.008925976080712163,3578
74,Thu,2,0.008828929933581194,3341
75,Thu,3,0.008600812176188515,2646
76,Thu,4,0.0089471712936074,3856
77,Thu,5,0.010087188271202049,6611
78,Thu,6,0.011180432333556822,9268
79,Thu,7,0.012265959710166762,11781
80,Thu,8,0.012206402769777093,11626
81,Thu,9,0.011322662657761634,9596
82,Thu,10,0.010746674880531049,8290
83,Thu,11,0.010956517384906606,8827
84,Thu,12,0.010959407546520668,8857
85,Thu,13,0.01153208192699778,10282
86,Thu,14,0.012333135432740663,12154
87,Thu,15,0.012914622050349536,13522
88,Thu,16,0.013023834924930658,13475
89,Thu,17,0.013457741019513894,14607
90,Thu,18,0.012251824716813126,11752
91,Thu,19,0.010780104175026816,8332
92,Thu,20,0.010008133230144213,6523
93,Thu,21,0.009595568094056527,5365
94,Thu,22,0.009436294154952823,5017
95,Thu,23,0.009218734971919006,4482
96,Fri,0,0.0090402108251853,4038
97,Fri,1,0.008924862106602588,3702
98,Fri,2,0.008815074663461273,3371
99,Fri,3,0.008724202055083263,3166
100,Fri,4,0.009110387095512545,4297
101,Fri,5,0.010094633460438387,6583
102,Fri,6,0.01106429495823165,8878
103,Fri,7,0.011718763466005413,10437
104,Fri,8,0.011817104985630269,10648
105,Fri,9,0.010911682034702405,8569
106,Fri,10,0.010724247221141974,8195
107,Fri,11,0.011204528853946414,9365
108,Fri,12,0.011324854610452505,9539
109,Fri,13,0.012058411589288644,11271
110,Fri,14,0.012799234281084875,13031
111,Fri,15,0.013823235555681964,15281
112,Fri,16,0.013593988634813514,14794
113,Fri,17,0.013847157506376606,15312
114,Fri,18,0.012755125067107315,12882
115,Fri,19,0.011298552719393246,9487
116,Fri,20,0.010326971741725333,7202
117,Fri,21,0.009829199697639466,5949
118,Fri,22,0.009500316081251401,5058
119,Fri,23,0.009236062246971209,4472
120,Sat,0,0.009109611335419855,3981
121,Sat,1,0.009023604104767092,3805
122,Sat,2,0.009114237961342501,4113
123,Sat,3,0.008719651295334016,2995
124,Sat,4,0.008888984389838208,3643
125,Sat,5,0.008882144515409715,3722
126,Sat,6,0.00899552647656228,4085
127,Sat,7,0.009020359128307181,4105
128,Sat,8,0.009208981314727221,4592
129,Sat,9,0.009592485958215758,5469
130,Sat,10,0.010065870242540045,6566
131,Sat,11,0.010417006610486916,7363
132,Sat,12,0.010228621455563029,6917
133,Sat,13,0.010415047913721453,7325
134,Sat,14,0.01035622413440839,7162
135,Sat,15,0.010181670169623751,6881
136,Sat,16,0.01015385549687419,6821
137,Sat,17,0.01004011072553477,6510
138,Sat,18,0.00984595181195626,6073
139,Sat,19,0.009554706933285364,5311
140,Sat,20,0.009356873801429952,4752
141,Sat,21,0.009393023344067036,4936
142,Sat,22,0.009066802150882222,4065
143,Sat,23,0.008937064728969085,3652
144,Sun,0,0.008948384408890878,3695
145,Sun,1,0.008855174796409463,3509
146,Sun,2,0.008901539406518284,3604
147,Sun,3,0.008701335223163976,3067
148,Sun,4,0.008826729828783115,3575
149,Sun,5,0.008806058475893892,3577
150,Sun,6,0.008880121541603609,3799
151,Sun,7,0.008846127920584057,3745
152,Sun,8,0.008858063925052484,3681
153,Sun,9,0.009022349621845437,4126
154,Sun,10,0.009490093486820315,5282
155,Sun,11,0.009733969552022598,5806
156,Sun,12,0.009615193229767349,5603
157,Sun,13,0.009752579836601208,5912
158,Sun,14,0.009765944113365503,5869
159,Sun,15,0.009621164462255144,5529
160,Sun,16,0.009636101158748491,5614
161,Sun,17,0.009559834184798595,5369
162,Sun,18,0.00944960410106946,5077
163,Sun,19,0.009268468663133151,4670
164,Sun,20,0.009168221556343278,4331
165,Sun,21,0.009217286415858637,4542
166,Sun,22,0.008936597338126129,3725
167,Sun,23,0.009049843094021877,3894
